3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0211;MX PL Queretaro
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0212;MX PL NW Manantiales
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0214;MX PL Toluca - Cafes y Culin.
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0215;MX PL Toluca - Chocolates
3. Latin America;Mexico;Mexico;MX10;Nestle Mexico, S.A. De C.V.;0217;MX PL Cuautitlan - Purina
3. Latin America;Central America;Panama;PA12;Nestle Panama S.A.;0219;PA PL Nata
3. Latin America;Central America;Panama;PA12;Nestle Panama S.A.;0220;PA PL Los Santos
3. Latin America;Central America;Panama;PA12;Nestle Panama S.A.;0221;PA PL Pedregal
3. Latin America;Central America;Nicaragua;NI10;Compania Centroamericana De Productos Lacteos S.A.;0224;NI PL Matagalpa
3. Latin America;Central America;Guatemala;GT10;Nestle Guatemala, S.A.;0226;GT PL Antigua
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0227;ID PL Kejayan
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0228;ID DC Cikarang
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0229;ID DC Gempol 2
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0230;ID PL Panjang
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0231;ID PL Cikupa
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0232;ID HO Head Office
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0233;ID CP Fairpack Indonesia
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0234;ID DC Direct Dist Cikarang
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0235;ID DC Medan
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0236;ID DC Makassar
2. AOA;Indonesia;Indonesia;ID10;PT Nestle Indonesia;0237;ID DC Direct Dist Gempol
3. Latin America;Plata Region;Argentina;AR12;Nestle Argentina S.A.;0238;AR PL Santo Tome
3. Latin America;Plata Region;Argentina;AR12;Nestle Argentina S.A.;0242;AR PL Magdalena
